Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
Tata Consumer Products Ltd.,2002-09-30,1905.7,1993.3,307.8,416.3,506.1,16.15,Plantations
Tata Elxsi Ltd.,2002-09-30,275.9,252.1,28.9,34.3,45.7,10.47,Computers
Tata Investment Corpn. Ltd.,2002-09-30,208.6,42.7,170.2,195.4,195.8,81.59,Finance
Tata Motors Ltd.,2002-09-30,21591.6,20552.6,588.0,1079.1,2650.7,2.72,Auto
Tata Power Co. Ltd.,2002-09-30,12021.4,11666.0,1349.5,2306.7,4142.9,11.23,Power
Tata Steel Ltd.,2002-09-30,20788.2,19488.1,2006.6,2370.5,4588.1,9.65,Steel
Tech Mahindra Ltd.,2002-09-30,,,,,,0.0,Computers
Thermax Ltd.,2002-09-30,1430.0,1436.4,66.0,110.0,134.2,4.62,Infrastructure
Timken India Ltd.,2002-09-30,512.8,483.2,39.6,57.6,82.5,7.72,Bearings
Titan Company Ltd.,2002-09-30,1810.7,1946.4,18.6,27.6,192.7,1.03,Miscellaneous
Torrent Pharmaceuticals Ltd.,2002-09-30,976.5,924.3,163.1,236.4,275.6,16.7,Pharmaceuticals
Trent Ltd.,2002-09-30,266.9,275.3,25.9,34.7,41.8,9.7,Retail
Trident Ltd.,2002-09-30,1144.7,1057.9,88.6,134.7,282.5,7.74,Textiles
U P L Ltd.,2002-09-30,695.1,765.4,5.6,5.6,172.7,0.81,Chemicals
Uflex Ltd.,2002-09-30,1615.1,1559.7,50.9,90.1,302.0,3.15,Packaging
Uno Minda Ltd.,2002-09-30,293.1,287.5,12.8,16.3,42.2,4.37,Auto
V I P Industries Ltd.,2002-09-30,563.2,649.3,12.9,24.0,71.6,2.29,Personal
V S T Industries Ltd.,2002-09-30,713.3,639.8,98.4,177.8,194.9,13.8,Cigarettes
Vaibhav Global Ltd.,2002-09-30,251.1,239.7,14.4,15.5,19.2,5.73,Retail
Vakrangee Ltd.,2002-09-30,68.1,42.3,25.8,28.1,35.6,37.89,Computers
Vardhman Textiles Ltd.,2002-09-30,1873.6,1834.8,121.0,163.5,379.1,6.46,Textiles
Vedanta Ltd.,2002-09-30,127.8,445.2,-107.0,-103.7,-51.7,-83.72,Mining
Vinati Organics Ltd.,2002-09-30,72.5,71.7,6.8,11.8,14.9,9.38,Chemicals
Voltas Ltd.,2002-09-30,2697.1,2924.4,75.2,124.1,161.3,2.79,Diversified
Welspun India Ltd.,2002-09-30,637.7,615.5,45.0,58.0,148.3,7.06,Textiles
Westlife Development Ltd.,2002-09-30,13.6,4.1,0.2,0.3,0.3,1.47,Hotels
Whirlpool Of India Ltd.,2002-09-30,2128.0,2221.1,-40.5,-40.5,138.3,-1.9,Consumer
Wipro Ltd.,2002-09-30,9879.0,7976.0,2090.0,2368.0,2686.0,21.16,Computers
Wockhardt Ltd.,2002-09-30,2053.0,1760.0,360.0,402.0,455.0,17.54,Pharmaceuticals
Zee Entertainment Enterprises Ltd.,2002-09-30,880.3,905.7,161.3,235.7,397.2,18.32,Media
Zensar Technologies Ltd.,2002-09-30,218.5,218.1,8.5,14.3,27.8,3.89,Computers
Zydus Lifesciences Ltd.,2002-09-30,1916.5,1636.8,254.5,280.0,358.2,13.28,Pharmaceuticals
3M India Ltd.,2002-12-31,471.4,416.7,26.7,60.3,75.7,5.66,Diversified
A B B India Ltd.,2002-12-31,3737.2,3466.5,410.6,641.5,691.9,10.99,Infrastructure
A C C Ltd.,2002-12-31,6895.2,7391.9,202.1,232.1,918.5,2.93,Cement
A P L Apollo Tubes Ltd.,2002-12-31,146.0,144.0,2.0,2.0,5.6,1.37,Steel
Aarti Drugs Ltd.,2002-12-31,475.4,508.6,15.0,18.4,44.0,3.16,Pharmaceuticals
Aarti Industries Ltd.,2002-12-31,1115.0,1079.5,80.6,113.7,183.8,7.23,Chemicals
Abbott India Ltd.,2002-11-30,917.4,823.0,144.1,205.0,216.6,15.71,Pharmaceuticals
Adani Enterprises Ltd.,2002-12-31,9190.9,8785.6,103.9,115.4,229.2,1.13,Trading
Aegis Logistics Ltd.,2002-12-31,154.8,147.7,8.3,12.9,33.3,5.36,Transport
Ajanta Pharma Ltd.,2002-12-31,276.2,303.7,7.8,11.0,57.6,2.82,Pharmaceuticals
Akzo Nobel India Ltd.,2002-12-31,1740.0,1652.2,652.1,842.1,909.4,37.48,Paints
Alkyl Amines Chemicals Ltd.,2002-12-31,223.1,249.7,6.1,10.9,43.1,2.73,Chemicals
Alok Industries Ltd.,2002-12-31,2107.4,2066.9,154.6,177.3,400.0,7.34,Textiles
Amara Raja Batteries Ltd.,2002-12-31,469.9,420.3,30.3,38.7,69.2,6.45,Auto
Ambuja Cements Ltd.,2002-12-31,4193.4,3926.7,603.2,705.7,1405.8,14.38,Cement
Apollo Hospitals Enterprise Ltd.,2002-12-31,1109.0,1055.0,58.0,94.0,232.0,5.23,Hospitals
Apollo Tyres Ltd.,2002-12-31,4041.6,4012.5,254.7,398.2,544.8,6.3,Tyres
Asahi India Glass Ltd.,2002-12-31,511.5,503.0,34.4,51.9,99.7,6.73,Glass
Ashok Leyland Ltd.,2002-12-31,5733.1,5667.1,232.9,361.4,731.9,4.06,Auto
Asian Paints Ltd.,2002-12-31,4444.6,3522.4,436.7,692.3,821.1,9.83,Paints
Astrazeneca Pharma India Ltd.,2002-12-31,411.3,455.4,32.2,68.8,84.9,7.83,Pharmaceuticals
Atul Ltd.,2002-12-31,1461.0,1526.4,93.7,100.5,233.1,6.41,Chemicals
Aurobindo Pharma Ltd.,2002-12-31,3015.6,2823.1,211.5,294.0,432.0,7.01,Pharmaceuticals
Avanti Feeds Ltd.,2002-12-31,228.1,199.2,0.2,0.2,10.9,0.09,Aquaculture
Axis Bank Ltd.,2002-12-31,3730.9,4341.2,515.0,804.3,3658.3,13.8,Banks
B A S F India Ltd.,2002-12-31,1162.2,1149.4,55.1,77.5,169.2,4.74,Chemicals
Bajaj Electricals Ltd.,2002-12-31,1135.8,1180.6,0.3,2.1,63.5,0.03,Domestic
Bajaj Finance Ltd.,2002-12-31,272.8,249.0,67.9,104.1,176.7,24.89,Finance
Bajaj Holdings & Invst. Ltd.,2002-12-31,11257.2,10447.7,1339.4,2039.4,2461.4,11.9,Finance
Balkrishna Industries Ltd.,2002-12-31,694.4,627.4,25.9,49.5,96.9,3.73,Tyres
Balrampur Chini Mills Ltd.,2002-12-31,1379.9,849.3,29.0,35.5,110.9,2.1,Sugar
Bank Of Baroda,2002-12-31,15300.0,16506.2,2543.8,3743.8,13579.4,16.63,Banks
Bank Of India,2002-12-31,14682.5,16508.3,1968.9,2757.4,12392.1,13.41,Banks
Bata India Ltd.,2002-12-31,1697.6,1772.5,32.2,32.2,79.4,1.9,Leather
Bayer Cropscience Ltd.,2002-12-31,1078.2,1379.8,-51.2,-51.2,23.0,-4.75,Chemicals
Berger Paints India Ltd.,2002-12-31,1581.3,1350.3,96.6,132.5,179.6,6.11,Paints
Bharat Electronics Ltd.,2002-12-31,4699.4,5756.2,531.0,763.2,908.1,11.3,Electric
Bharat Forge Ltd.,2002-12-31,1677.4,1471.8,213.6,303.2,501.7,12.73,Castings
Bharat Heavy Electricals Ltd.,2002-12-31,16637.3,15579.4,813.3,1218.8,1806.7,4.89,Infrastructure
Bharat Petroleum Corpn. Ltd.,2002-12-31,114638.0,107781.0,2330.0,3614.0,5574.0,2.03,Refineries
Birla Corporation Ltd.,2002-12-31,2312.9,2491.0,-5.6,-5.6,154.5,-0.24,Cement
Birlasoft Ltd.,2002-12-31,182.9,165.2,17.7,20.1,29.1,9.68,Computers
Blue Dart Express Ltd.,2002-12-31,764.5,711.9,53.2,83.2,117.4,6.96,Couriers
Blue Star Ltd.,2002-12-31,1142.3,1156.0,33.8,41.0,71.7,2.96,Consumer
Bombay Burmah Trdg. Corpn. Ltd.,2002-12-31,267.3,351.7,11.8,11.8,61.4,4.41,Plantations
Borosil Renewables Ltd.,2002-12-31,227.2,218.1,20.0,20.0,55.4,8.8,Glass
Bosch Ltd.,2002-12-31,3979.6,3862.4,397.2,692.2,1061.0,9.98,Auto
Brightcom Group Ltd.,2002-12-31,7.1,6.5,0.6,0.7,2.3,8.45,Computers
Britannia Industries Ltd.,2002-12-31,3186.0,3028.0,251.0,382.0,472.0,7.88,Food
C C L Products (India) Ltd.,2002-12-31,127.1,121.9,28.9,28.9,35.9,22.74,Plantations
C E S C Ltd.,2002-12-31,4880.0,5410.0,-400.0,-400.0,1420.0,-8.2,Power
Can Fin Homes Ltd.,2002-12-31,336.1,286.8,54.2,68.9,313.5,16.13,Finance
Caplin Point Laboratories Ltd.,2002-12-31,8.4,13.3,-4.3,-4.3,-0.1,-51.19,Pharmaceuticals
Capri Global Capital Ltd.,2002-12-31,,0.2,1.2,1.2,1.2,,Finance
Carborundum Universal Ltd.,2002-12-31,626.3,582.2,44.2,63.9,112.6,7.06,Abrasives
Castrol India Ltd.,2002-12-31,3080.2,2582.3,400.4,650.2,697.9,13.0,Lubricants
Ceat Ltd.,2002-12-31,2722.8,3157.8,26.6,45.1,269.0,0.98,Tyres
Century Plyboards (India) Ltd.,2002-12-31,286.2,306.0,15.7,23.2,29.1,5.49,Miscellaneous
Century Textiles & Inds. Ltd.,2002-12-31,5638.3,5542.3,334.5,362.0,932.5,5.93,Diversified
Chambal Fertilisers & Chemicals Ltd.,2002-12-31,6248.2,5244.9,768.5,921.6,1630.3,12.3,Fertilisers
Cholamandalam Financial Holdings Ltd.,2002-12-31,2567.9,2507.1,57.8,91.1,216.4,2.25,Miscellaneous
Cholamandalam Investment & Finance Co. Ltd.,2002-12-31,561.2,510.4,72.6,138.0,463.0,12.94,Finance
Cipla Ltd.,2002-12-31,3599.7,3331.2,664.6,865.3,947.8,18.46,Pharmaceuticals
City Union Bank Ltd.,2002-12-31,599.2,702.4,80.1,150.1,550.6,13.37,Banks
Colgate-Palmolive (India) Ltd.,2002-12-31,2700.7,2601.9,210.9,344.9,391.3,7.81,Personal
Container Corpn. Of India Ltd.,2002-12-31,3700.0,3129.3,693.3,1096.7,1203.5,18.74,Transport
Coromandel International Ltd.,2002-12-31,1502.6,1662.5,63.1,108.6,183.3,4.2,Fertilisers
Crisil Ltd.,2002-12-31,173.7,129.7,54.8,82.3,101.8,31.55,Miscellaneous
Cummins India Ltd.,2002-12-31,2221.3,2056.3,244.9,314.9,381.7,11.03,Engines
Cyient Ltd.,2002-12-31,319.5,261.2,68.2,77.5,117.3,21.35,Computers
D C M Shriram Ltd.,2002-12-31,3123.6,3171.3,123.1,146.8,374.1,3.94,Diversified
D L F Ltd.,2002-12-31,547.1,480.6,66.5,100.2,119.8,12.15,Construction
Dabur India Ltd.,2002-12-31,3513.5,3011.1,267.2,304.7,425.0,7.6,Personal
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,2002-12-31,1278.5,1116.7,149.3,253.6,381.7,11.68,Fertilisers
Deepak Nitrite Ltd.,2002-12-31,687.1,647.0,23.9,31.5,79.6,3.48,Chemicals
Dhanuka Agritech Ltd.,2002-12-31,45.9,40.8,0.2,0.2,4.4,0.44,Chemicals
Dr. Reddy'S Laboratories Ltd.,2002-12-31,3744.6,3072.0,931.6,1077.6,1216.7,24.88,Pharmaceuticals
E I D-Parry (India) Ltd.,2002-12-31,2739.5,2514.0,9.4,40.4,232.0,0.34,Sugar
E I H Ltd.,2002-12-31,1073.3,1170.1,9.3,19.1,150.2,0.87,Hotels
E P L Ltd.,2002-12-31,519.0,444.0,84.0,121.0,202.0,16.18,Packaging
Eicher Motors Ltd.,2002-12-31,1546.1,1517.9,104.8,165.6,209.3,6.78,Auto
Elgi Equipments Ltd.,2002-12-31,533.7,540.9,28.2,45.7,65.8,5.28,Compressors
Emami Ltd.,2002-12-31,767.9,676.5,93.2,93.2,105.8,12.14,Personal
Engineers India Ltd.,2002-12-31,1607.3,1604.9,89.2,188.1,206.2,5.55,Infrastructure
Esab India Ltd.,2002-12-31,318.9,422.4,-101.8,-107.2,-89.4,-31.92,Electrodes
Escorts Kubota Ltd.,2002-12-31,2381.5,2886.1,261.4,265.7,611.1,10.98,Auto
Exide Industries Ltd.,2002-12-31,2170.5,2074.4,125.4,205.4,383.8,5.78,Auto
F D C Ltd.,2002-12-31,495.6,506.7,92.7,118.2,130.0,18.7,Pharmaceuticals
Federal Bank Ltd.,2002-12-31,2812.3,3197.8,311.2,501.2,2428.0,11.07,Banks
Finolex Cables Ltd.,2002-12-31,1015.4,962.4,47.1,66.0,177.1,4.64,Cables
Finolex Industries Ltd.,2002-12-31,1990.4,1823.9,128.6,192.4,334.6,6.46,Petrochemicals
G A I L (India) Ltd.,2002-12-31,30758.0,28116.0,3593.0,6343.0,8633.0,11.68,Oil Drilling And Exploration
G H C L Ltd.,2002-12-31,1070.6,946.9,108.5,113.1,246.7,10.13,Chemicals
G M M Pfaudler Ltd.,2002-12-31,135.9,128.4,4.3,5.8,11.6,3.16,Engineering
Garware Technical Fibres Ltd.,2002-12-31,423.3,444.6,15.6,22.1,51.2,3.69,Textiles
Gillette India Ltd.,2002-12-31,921.3,939.9,-33.3,-12.3,61.1,-3.61,Personal
Glaxosmithkline Pharmaceuticals Ltd.,2002-12-31,2082.6,2363.0,-34.7,33.6,79.3,-1.67,Pharmaceuticals
Glenmark Pharmaceuticals Ltd.,2002-12-31,690.3,732.0,90.5,103.8,154.3,13.11,Pharmaceuticals
Godfrey Phillips India Ltd.,2002-12-31,1440.6,1300.6,139.2,215.4,246.2,9.66,Cigarettes
Godrej Industries Ltd.,2002-12-31,1601.5,1599.1,58.5,106.5,209.2,3.65,Personal
Granules India Ltd.,2002-12-31,168.1,158.7,10.3,10.3,20.5,6.13,Pharmaceuticals
Graphite India Ltd.,2002-12-31,951.7,981.2,55.8,61.8,170.6,5.86,Electrodes
Grasim Industries Ltd.,2002-12-31,11665.9,10768.5,1329.5,1944.5,2981.2,11.4,Diversified
Great Eastern Shipping Co. Ltd.,2002-12-31,2337.5,1908.6,477.4,477.4,967.4,20.42,Shipping
Greaves Cotton Ltd.,2002-12-31,1503.2,1516.7,8.1,8.1,156.4,0.54,Engines
Grindwell Norton Ltd.,2002-12-31,524.0,551.0,37.0,62.0,91.0,7.06,Abrasives
Gujarat Alkalies & Chemicals Ltd.,2002-12-31,2279.5,2191.3,36.1,43.8,527.7,1.58,Chemicals
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,2002-12-31,3078.3,3266.2,143.3,266.7,603.1,4.66,Fertilisers
Gujarat State Fertilizers & Chemicals Ltd.,2002-12-31,5256.9,5023.5,-643.5,-643.5,153.4,-12.24,Fertilisers
H C L Technologies Ltd.,2002-12-31,2126.2,1601.1,668.3,693.2,816.9,31.43,Computers
H D F C Bank Ltd.,2002-12-31,5009.2,5419.2,988.8,1520.7,4520.9,19.74,Banks
H E G Ltd.,2002-12-31,1345.7,1300.4,104.1,109.9,220.8,7.74,Electrodes
H F C L Ltd.,2002-12-31,1861.3,1778.2,66.3,81.3,399.9,3.56,Telecommunications
H L E Glascoat Ltd.,2002-12-31,37.4,38.6,0.8,1.2,3.8,2.14,Glass
Hatsun Agro Products Ltd.,2002-12-31,811.0,810.2,3.0,3.0,45.1,0.37,Food
Havells India Ltd.,2002-12-31,634.8,641.2,26.0,44.8,75.4,4.1,Electric
Heidelberg Cement India Ltd.,2002-12-31,810.3,968.4,-145.1,-145.1,-17.7,-17.91,Cement
Hero Motocorp Ltd.,2002-12-31,13760.4,12471.0,1528.0,2353.6,2498.4,11.1,Auto
Hikal Ltd.,2002-12-31,306.9,221.9,56.7,56.7,98.3,18.48,Pharmaceuticals
Hindalco Industries Ltd.,2002-12-31,12514.0,10911.0,1774.0,2600.0,3602.0,14.18,Steel
Hindustan Copper Ltd.,2002-12-31,1264.6,1499.0,-343.9,-343.9,-153.7,-27.19,Metals
Hindustan Petroleum Corpn. Ltd.,2002-12-31,129110.5,123793.9,3306.2,5208.2,6965.4,2.56,Refineries
Hindustan Unilever Ltd.,2002-12-31,26345.0,21679.1,4805.7,6285.0,6626.6,18.24,Personal
Hindustan Zinc Ltd.,2002-12-31,3083.0,2899.0,374.0,745.0,909.0,12.13,Metals
Honeywell Automation India Ltd.,2002-12-31,502.7,527.6,18.0,25.1,52.4,3.58,Telecommunications
Housing & Urban Devp. Corpn. Ltd.,2002-12-31,6143.9,5260.0,1009.6,1324.1,5961.4,16.43,Construction
Housing Development Finance Corpn. Ltd.,2002-12-31,7324.5,5882.9,1466.5,1802.5,6983.8,20.02,Finance
I C I C I Bank Ltd.,2002-12-31,22587.1,25062.3,3303.0,3704.0,22865.7,14.62,Banks
I D B I Bank Ltd.,2002-12-31,17970.0,17840.0,400.0,420.0,15400.0,2.23,Bank - Private
I F B Industries Ltd.,2002-12-31,515.6,643.1,-100.4,-100.4,76.8,-19.47,Consumer
I T C Ltd.,2002-12-31,14676.0,12350.2,3235.1,5057.6,5738.8,22.04,Diversified
I T I Ltd.,2002-12-31,3620.6,3867.4,-456.0,-456.0,1.2,-12.59,Telecommunications
India Cements Ltd.,2002-12-31,1979.5,2861.8,-505.4,-505.4,304.8,-25.53,Cement
Indian Hotels Co. Ltd.,2002-12-31,1689.1,1593.3,111.7,171.6,382.3,6.61,Hotels
Indian Oil Corpn. Ltd.,2002-12-31,275281.8,267531.3,7765.6,8957.8,14928.0,2.82,Refineries
Indian Overseas Bank,2002-12-31,8960.7,9094.7,1169.5,1245.9,6966.7,13.05,Banks
Indusind Bank Ltd.,2002-12-31,1810.3,2130.0,248.3,261.3,1513.9,13.72,Banks
Infosys Ltd.,2002-12-31,9586.4,7321.3,2563.1,3138.1,3632.9,26.74,Computers
Ipca Laboratories Ltd.,2002-12-31,1126.1,1004.7,159.4,196.9,238.2,14.16,Pharmaceuticals
Ircon International Ltd.,2002-12-31,1839.3,1740.2,151.5,199.1,233.5,8.24,Engineering
J B Chemicals & Pharmaceuticals Ltd.,2002-12-31,785.1,668.6,114.3,144.7,165.5,14.56,Pharmaceuticals
J K Lakshmi Cement Ltd.,2002-12-31,934.2,1091.2,-125.1,-125.1,98.6,-13.39,Cement
J K Paper Ltd.,2002-12-31,1468.7,1453.8,91.9,166.1,358.2,6.26,Paper
J M Financial Ltd.,2002-12-31,,0.7,2.9,2.9,2.9,,Finance
J S W Steel Ltd.,2002-12-31,6547.5,7167.5,-598.8,-598.8,1815.7,-9.15,Steel
Jamna Auto Inds. Ltd.,2002-12-31,144.4,165.8,-20.2,-20.2,15.0,-13.99,Auto
Jindal Steel & Power Ltd.,2002-12-31,2749.9,2213.7,602.1,670.9,1040.4,21.9,Steel
Johnson Controls-Hitachi Air Conditioning India Ltd.,2002-12-31,31.0,43.4,-8.4,-8.4,-4.2,-27.1,Consumer
Jubilant Pharmova Ltd.,2002-12-31,1880.0,1822.0,125.0,162.0,336.0,6.65,Pharmaceuticals
K I O C L Ltd.,2002-12-31,1355.7,1359.9,119.4,155.6,275.3,8.81,Steel
K R B L Ltd.,2002-12-31,1686.9,1677.1,45.4,54.9,107.7,2.69,Food
K S B Ltd.,2002-12-31,668.0,630.0,52.0,84.0,113.0,7.78,Pumps
Kajaria Ceramics Ltd.,2002-12-31,521.7,523.8,17.4,18.7,112.9,3.34,Ceramics
Kalpataru Power Transmission Ltd.,2002-12-31,604.6,758.0,19.3,25.6,51.5,3.19,Power
Kansai Nerolac Paints Ltd.,2002-12-31,1781.1,1577.9,112.5,165.0,225.8,6.32,Paints
Kei Industries Ltd.,2002-12-31,198.9,235.2,5.1,8.1,24.7,2.56,Power
Kotak Mahindra Bank Ltd.,2002-12-31,450.3,464.6,112.9,166.9,406.6,25.07,Banks
L I C Housing Finance Ltd.,2002-12-31,2699.1,2395.7,413.4,555.7,2274.2,15.32,Finance
La Opala R G Ltd.,2002-12-31,104.7,92.2,6.6,11.3,13.8,6.3,Glass
Lakshmi Machine Works Ltd.,2002-12-31,1408.9,1410.5,59.9,104.5,193.8,4.25,Textiles
Larsen & Toubro Ltd.,2002-12-31,23207.2,22659.9,806.7,899.1,2054.5,3.48,Infrastructure
Lupin Ltd.,2002-12-31,2386.0,2330.9,226.6,311.6,528.6,9.5,Pharmaceuticals
M M T C Ltd.,2002-12-31,19051.6,19049.1,44.9,74.9,93.0,0.24,Trading
M R F Ltd.,2002-12-31,5189.8,5220.1,201.8,296.7,608.9,3.89,Tyres
Maharashtra Scooters Ltd.,2002-12-31,132.3,165.4,-25.8,-25.8,-22.5,-19.5,Auto
Mahindra & Mahindra Ltd.,2002-12-31,9600.0,9790.1,307.9,529.9,1150.2,3.21,Auto
Mahindra Lifespace Developers Ltd.,2002-12-31,236.9,254.9,42.6,65.7,139.8,17.98,Construction
Mangalore Refinery & Petrochemicals Ltd.,2002-12-31,21372.8,23045.1,-1302.6,-1302.6,949.7,-6.09,Refineries
Marico Ltd.,2002-12-31,1869.1,1585.8,122.5,144.0,259.8,6.55,Personal
Mastek Ltd.,2002-12-31,378.8,231.1,157.5,157.8,185.2,41.58,Computers
Max Financial Services Ltd.,2002-12-31,308.6,329.3,6.8,14.8,92.9,2.2,Finance
Mphasis Ltd.,2002-12-31,564.8,382.9,194.0,220.7,220.7,34.35,Computers
N C C Ltd.,2002-12-31,1117.3,1075.4,41.1,56.8,104.4,3.68,Construction
N H P C Ltd.,2002-12-31,1453.5,1408.1,699.8,873.2,1441.9,48.15,Power
N L C India Ltd.,2002-12-31,6697.7,5021.2,1860.9,3237.5,3784.0,27.78,Power
N M D C Ltd.,2002-12-31,3085.4,2647.9,822.7,1152.7,1256.8,26.66,Mining
N T P C Ltd.,2002-12-31,,,,,,,Power
Natco Pharma Ltd.,2002-12-31,281.2,383.3,5.2,5.2,56.8,1.85,Pharmaceuticals
National Aluminium Co. Ltd.,2002-12-31,6418.1,5556.1,1276.7,1848.5,3035.3,19.89,Aluminium
Nesco Ltd.,2002-12-31,21.9,19.9,3.0,3.0,7.2,13.7,Diversified
Nestle India Ltd.,2002-12-31,4827.1,5040.4,376.7,579.7,706.6,7.8,Food
Nocil Ltd.,2002-12-31,603.5,816.4,-103.6,-103.6,3.7,-17.17,Petrochemicals
Oil & Natural Gas Corpn. Ltd.,2002-12-31,54592.9,34583.1,25934.7,40060.5,49786.0,47.51,Oil Drilling And Exploration
P C B L Ltd.,2002-12-31,1080.3,1064.9,21.9,34.6,127.5,2.03,Carbon
P I Industries Ltd.,2002-12-31,542.7,451.8,-2.8,0.5,35.3,-0.52,Chemicals
Patanjali Foods Ltd.,2002-12-31,7651.6,7676.5,82.7,98.7,214.3,1.08,Vegetable
Pfizer Ltd.,2002-11-30,1731.6,1910.3,223.1,444.1,481.0,12.88,Pharmaceuticals
Phoenix Mills Ltd.,2002-12-31,16.5,71.2,20.2,20.2,38.5,122.42,Construction
Pidilite Industries Ltd.,2002-12-31,1565.8,1341.3,175.8,273.2,339.8,11.23,Chemicals
Poly Medicure Ltd.,2002-12-31,116.8,103.3,12.2,16.3,23.5,10.45,Hospitals
Polyplex Corporation Ltd.,2002-12-31,356.5,324.8,37.1,56.2,102.9,10.41,Packaging
Power Finance Corpn. Ltd.,2002-12-31,7972.1,3949.0,4069.3,4803.5,7839.9,51.04,Finance
Power Grid Corpn. Of India Ltd.,2002-12-31,4581.1,4054.8,1247.4,1436.6,4318.3,27.23,Power
Praj Industries Ltd.,2002-12-31,195.7,182.5,12.3,18.2,22.4,6.29,Engineering
Prism Johnson Ltd.,2002-12-31,799.3,971.9,-69.2,-69.2,97.7,-8.66,Cement
Privi Speciality Chemicals Ltd.,2002-12-31,49.0,42.9,4.2,4.6,9.4,8.57,Chemicals
Procter & Gamble Health Ltd.,2002-12-31,823.1,763.1,107.0,175.8,203.2,13.0,Pharmaceuticals
Procter & Gamble Hygiene & Health Care Ltd.,2002-12-31,1413.2,1020.9,353.5,465.9,497.0,25.01,Personal
Punjab & Sind Bank,2002-12-31,3138.5,3733.6,13.5,14.2,2310.8,0.43,Banks
Punjab National Bank,2002-12-31,18314.5,19191.3,1892.5,2762.5,13741.0,10.33,Banks
R E C Ltd.,2002-12-31,3461.1,3289.4,256.1,349.2,3408.9,7.4,Banks
Rain Industries Ltd.,2002-12-31,379.4,522.4,-140.1,-140.1,-33.9,-36.93,Cement
Rajesh Exports Ltd.,2002-12-31,428.3,410.2,44.5,46.5,54.6,10.39,Metals
Rallis India Ltd.,2002-12-31,2061.6,2280.6,-68.6,-68.6,76.6,-3.33,Chemicals
Ramco Cements Ltd.,2002-12-31,1376.7,1466.8,5.3,14.9,334.3,0.38,Cement
Rashtriya Chemicals & Fertilizers Ltd.,2002-12-31,5298.8,5586.0,262.1,262.1,529.2,4.95,Fertilisers
Ratnamani Metals & Tubes Ltd.,2002-12-31,208.3,203.4,4.4,6.9,18.3,2.11,Steel
Relaxo Footwears Ltd.,2002-12-31,318.9,318.5,1.5,2.5,14.1,0.47,Leather
Reliance Industries Ltd.,2002-12-31,109730.0,98240.0,10830.0,13540.0,24120.0,9.87,Refineries
S K F India Ltd.,2002-12-31,1114.0,996.4,70.7,118.8,195.8,6.35,Bearings
S R F Ltd.,2002-12-31,1776.5,1713.5,65.4,109.2,332.9,3.68,Diversified
Sanofi India Ltd.,2002-12-31,1596.0,1083.0,168.0,249.0,292.0,10.53,Pharmaceuticals
Saregama India Ltd.,2002-12-31,250.2,329.7,-68.7,-68.7,-43.3,-27.46,Media
Schaeffler India Ltd.,2002-12-31,693.1,614.4,57.9,75.9,130.4,8.35,Bearings
Shipping Corpn. Of India Ltd.,2002-12-31,5947.1,5451.4,762.2,815.2,1430.5,12.82,Shipping
Shree Cement Ltd.,2002-12-31,1298.7,1216.0,157.4,157.4,332.7,12.12,Cement
Shriram Transport Finance Co. Ltd.,2002-12-31,411.2,373.1,55.3,87.4,340.4,13.45,Finance
Siemens Ltd.,2002-12-31,2985.0,3308.5,344.1,513.1,598.6,11.53,Infrastructure
Sonata Software Ltd.,2002-12-31,218.8,179.3,43.8,55.8,61.5,20.02,Computers
Spicejet Ltd.,2002-11-30,,15.3,-11.6,-11.6,-9.8,,Transport
State Bank Of India,2002-12-31,77054.8,82798.7,7870.5,13233.0,66332.9,10.21,Banks
Steel Authority Of India Ltd.,2002-12-31,44210.3,44746.8,-787.5,-787.5,5515.6,-1.78,Steel
Sterlite Technologies Ltd.,2002-12-31,312.4,483.0,-208.0,-208.0,-83.8,-66.58,Cables
Strides Pharma Science Ltd.,2002-12-31,492.9,493.6,10.4,10.9,111.9,2.11,Pharmaceuticals
Sudarshan Chemical Inds. Ltd.,2002-12-31,601.3,567.0,6.3,6.3,67.5,1.05,Dyes
Sun Pharmaceutical Inds. Ltd.,2002-12-31,1895.4,1465.6,558.6,612.9,666.7,29.47,Pharmaceuticals
Sundaram-Clayton Ltd.,2002-12-31,776.3,771.8,122.1,161.5,193.5,15.73,Auto
Sundram Fasteners Ltd.,2002-12-31,1133.0,1051.8,100.3,145.0,193.4,8.85,Fasteners
Sunteck Realty Ltd.,2002-12-31,,,,,,0.0,Construction
Supreme Industries Ltd.,2002-12-31,1646.7,1614.6,31.5,34.4,208.4,1.91,Plastics
Swan Energy Ltd.,2002-12-31,2.0,40.7,-38.7,-38.7,-1.7,-1935.0,Trading
Symphony Ltd.,2002-12-31,10.9,15.6,-7.1,-7.1,-13.3,-65.14,Consumer
T T K Prestige Ltd.,2002-12-31,366.2,427.9,-37.2,-37.2,-8.4,-10.16,Domestic
Tanla Platforms Ltd.,2002-12-31,0.9,2.0,-1.1,-1.1,-0.8,-122.22,Computers
Tata Chemicals Ltd.,2002-12-31,4374.6,4162.4,555.0,828.1,1369.9,12.69,Chemicals
Tata Coffee Ltd.,2002-12-31,483.7,406.5,34.2,43.3,72.5,7.07,Plantations
