Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
Pidilite Industries Ltd.,2015-06-30,862.9,667.0,445.9,603.6,845.6,51.67,Chemicals
Poly Medicure Ltd.,2015-06-30,13056.7,10174.0,2264.3,3170.7,3397.6,17.34,Hospitals
Polyplex Corporation Ltd.,2015-06-30,953.0,866.0,97.5,125.5,197.2,10.23,Packaging
Power Finance Corpn. Ltd.,2015-06-30,2431.2,2542.8,7.5,7.5,192.9,0.31,Finance
Power Grid Corpn. Of India Ltd.,2015-06-30,67553.3,51833.2,15762.1,22937.2,65798.9,23.33,Power
Praj Industries Ltd.,2015-06-30,46898.8,34367.4,13556.4,17175.3,42370.4,28.91,Engineering
Prism Johnson Ltd.,2015-06-30,1453.3,1536.3,-1.0,-1.0,56.4,-0.07,Cement
Privi Speciality Chemicals Ltd.,2015-06-30,13071.8,13753.0,-149.0,-149.0,861.9,-1.14,Chemicals
Procter & Gamble Health Ltd.,2015-06-30,381.4,381.5,6.2,16.5,31.9,1.63,Pharmaceuticals
Procter & Gamble Hygiene & Health Care Ltd.,2015-06-30,2472.8,2430.0,168.6,262.7,315.5,6.82,Personal
Punjab & Sind Bank,2015-06-30,5575.6,4826.8,1070.9,1595.3,1731.7,19.21,Banks
Punjab National Bank,2015-06-30,22447.4,23131.4,431.6,577.9,17854.9,1.92,Banks
R E C Ltd.,2015-06-30,120346.9,127113.4,7207.1,13207.1,92529.3,5.99,Banks
Rain Industries Ltd.,2015-06-30,56628.9,42310.5,14785.8,21242.2,54319.2,26.11,Cement
Rajesh Exports Ltd.,2015-06-30,286.8,345.6,-26.2,-25.1,21.4,-9.14,Metals
Rallis India Ltd.,2015-06-30,84525.0,82840.2,1214.6,1214.6,1850.1,1.44,Chemicals
Ramco Cements Ltd.,2015-06-30,2548.7,2909.2,65.6,95.2,216.5,2.57,Cement
